Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,Mean norm of mean norm ,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
HI,HI1,0.540667793,0.523619639,2.636665415,1.74169768,0.807599166,0,1.07415666,1.176570847,1.126001162,0.390190337,1.521736937,1.98822785,1.785227428,0.495721541,0.801127014,0.494873908,0.661888733,0.446025935,1.138816588,0.649185365,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacterial ,1.028576928,1.085155128,1.1946884,1.427849601,1.131837703,0.832844451,0.96400286,0.686603228,0.852069171,0.994271428,0.96697357,0.683446889,1.07400092,0.767858089,0.93179108,1.030746452,0.936000706,1.044467014,1.531240703,1.666240146
HI,HI10,0.55078354,0.365980299,2.656774143,1.78639053,0.835328687,0.242136497,1.082570051,1.531933431,1.466671595,0.407096968,1.644016354,1.466671595,2.154156439,0.395807512,0.631890362,0.400031738,0.375647307,0.608640244,0.645479901,0.751992808,,,,,,,,,,,,,,,,,,,,,,,,,,,Viral ,0.992094524,1.07619358,1.061496129,1.311461761,0.99129645,0.985494106,1.812988083,0.543508979,0.761177885,0.919303803,0.974159926,0.459687736,1.234783944,0.70197821,0.890824625,0.949490049,0.903810626,1.260594767,1.703554244,1.731314967
HI,HI2,0.497401511,0.460553266,2.151295253,1.615770704,0.776229193,0.219717062,1.228639261,1.49841921,1.645877501,0.379457308,1.514326524,1.645877501,2.393926115,0.429461326,0.84734594,0.386164113,0.373368433,0.424306863,0.806672254,0.705190662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI3,0.505753937,0.367121816,1.980906884,1.683513634,0.64598932,0.332704876,1.219587667,1.486553117,1.470704328,0.33473784,1.595691634,2.096353093,2.110357354,0.55815812,0.754336941,0.300607258,0.444626727,0.514564025,0.863754736,0.733976691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI4,0.539630251,0.513256416,2.915821054,1.574861,0.803077338,0.252695933,1.056101366,1.504382138,1.499355927,0.379169923,1.691783936,1.532986367,2.098059376,0.531901596,0.737683465,0.270724454,0.341664324,0.409323917,0.684207308,0.66331391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI5,0.535606774,0.437586519,2.370039012,1.71785522,0.643781306,0.146590248,1.434634654,1.308715588,1.532074449,0.460581564,1.884502132,1.532074449,2.129644463,0.435990153,0.602255499,0.430834687,0.401769093,0.592521307,0.709694223,0.693248661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI7,0.768468095,0.47536331,2.654950523,1.765120608,0.913776535,0.249394957,1.622732913,1.586442225,1.083572868,0.558400348,1.535548159,1.083572868,2.154974907,0.450440568,0.692491904,0.258629907,0.33366374,0.473248046,0.664938801,0.674268718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI8,0.539346911,0.440196383,2.085673115,1.378599445,0.69101271,0.318052539,1.25890264,1.124361093,1.135745478,0.368495083,1.753562012,2.691168103,2.134618274,0.534269685,0.660514729,0.275482757,0.46666924,0.553426921,0.874374136,0.715528747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,HI9,0.431900862,0.392171004,2.142844177,1.810748214,0.807348064,0.247944414,1.161284269,1.401721881,1.194592375,0.423531326,1.650128455,2.028497834,2.420680145,0.425133379,0.730107325,0.322089939,0.376637761,0.547655477,0.75485825,0.730124848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP1,0.679672575,0.348400753,2.473128848,1.491305198,0.811274565,0.303223274,0.987070102,1.159955241,1.109090312,0.390853317,1.294254045,2.06126421,2.503465425,0.491434357,0.618625277,0.445389438,0.270176185,0.573696637,0.94820995,1.039510292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
